,percentile,age,survival_rate,death_rate
374,10-15%,59,0.8409293826251161,0.01311087579960235
375,10-15%,60,0.8278185068255137,0.013816853910341376
376,10-15%,61,0.8140016529151723,0.0144845267150856
377,10-15%,62,0.7995171262000867,0.015112139280542891
378,10-15%,63,0.7844049869195439,0.015699650811624277
379,10-15%,64,0.7687053361079196,0.016248432832751125
380,10-15%,65,0.7524569032751685,0.01676114825696995
381,10-15%,66,0.7356957550181985,0.0172416055872886
382,10-15%,67,0.7184541494309099,0.017694599977435166
383,10-15%,68,0.7007595494534747,0.018125834498002202
384,10-15%,69,0.6826337149554725,0.018544298718782937
385,10-15%,70,0.6640894162366896,0.01896277473267216
386,10-15%,71,0.6451266415040174,0.019394940939617245
387,10-15%,72,0.6257317005644002,0.01985509038907418
388,10-15%,73,0.605876610175326,0.02035807699437142
389,10-15%,74,0.5855185331809546,0.020919305070680405
390,10-15%,75,0.5645992281102742,0.02155473433565236
391,10-15%,76,0.5430444937746218,0.022280572515511743
392,10-15%,77,0.5207639212591101,0.023100760734038384
393,10-15%,78,0.4976631605250717,0.02400005264764299
394,10-15%,79,0.4736631078774287,0.02495757627410211
395,10-15%,80,0.4487055316033266,0.025946766673373034
396,10-15%,81,0.42275876492995357,0.026934210011360427
397,10-15%,82,0.39582455491859314,0.027878728805546038
398,10-15%,83,0.3679458261130471,0.028730920237243995
399,10-15%,84,0.3392149058758031,0.029433409898400098
400,10-15%,85,0.309781495977403,0.029921215183018934
401,10-15%,86,0.2798602807943841,0.030123974436511408
402,10-15%,87,0.24973630635787267,0.029972166388902072
403,10-15%,88,0.2197641399689706,0.029403969938738117
404,10-15%,89,0.19036017003023248,0.028373585050470163
405,10-15%,90,0.16198658497976232,0.026860340306126912
406,10-15%,91,0.1351262446736354,0.024877165483335073
407,10-15%,92,0.11024907919030033,0.022476550890510816
408,10-15%,93,0.08777252829978952,0.01975778857614112
409,10-15%,94,0.0680147397236484,0.0168600216999343
410,10-15%,95,0.051154718023714095,0.01393197093261609
411,10-15%,96,0.037222747091098005,0.011116025941590828
412,10-15%,97,0.026106721149507177,0.008534857865487602
413,10-15%,98,0.017571863284019575,0.006280572815096062
414,10-15%,99,0.011291290468923514,0.0043540489644400635
415,10-15%,100,0.00693724150448345,0.0027291187442849826
416,10-15%,101,0.0042081227601984674,0.001723041741119342
417,10-15%,102,0.0024850810190791255,0.0010804523513607233
418,10-15%,103,0.0014046286677184023,0.0006484615999958262
419,10-15%,104,0.0007561670677225761,0.0007561670677225761
420,15-20%,0,1.0,0.003542489802677573
421,15-20%,1,0.9964575101973224,0.0006195765827682331
422,15-20%,2,0.9958379336145542,0.00023946669367436169
423,15-20%,3,0.9955984669208798,0.0001773586306692554
424,15-20%,4,0.9954211082902106,0.0001381024341213788
425,15-20%,5,0.9952830058560892,0.00011649600012497707
